Review Date,Source,Review Type,Product Name,Reviewer Name,Title,Company Size,Used Product For,Overall Quality,Ease of Use,Customer Support,Features/Functionality,Value for Money,Likelihood to Recommend,Review Title,Comments,Pros,Cons,Advice to Buyers,Reasons for Choosing,Reasons for Switching,Alternatives Considered,Switched From
08/07/2026,Capterra,text,ArcSite,Elizabeth W,Administrative Assistant,"Construction, 11-50 employees",Less than 12 months,5.0,5.0,5.0,5.0,4.0,10 out of 10,ArcSite = Awesome!,"Overall, ArcSite is an amazing tool that we use each and every day. It allows us to stand out from our competitors, and we are able to be fully transparent with every customer we send our proposals to. We really feel it gives us an edge up!",ArcSite is a great software to use. It is easy to learn compared to other software that does the same thing. Especially if they don't have a CAD background. It has professional looking drawings instead of hand drawn floor plans. It is great for us to describe to a customer where Pier Layouts would be or how the French Drain would run in accordance with the home.,"Biggest one, it is on the pricier side of things for smaller companies. I'm sure the larger companies that use this do not see it as a downside. Integrations are limited and don't always work properly when talking to a CRM. Having to pay for an ""Admin Seat"" vs. being able to allow someone who only needs to view estimates at no cost.",,,,"",""
07/17/2026,Capterra,text,ArcSite,Deanna W,Design Consultant,"Construction, 11-50 employees",Less than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,[sensitive content hidden] is a Rockstar!! ,"Fantastic! Thanks to [sensitive content hidden], everything has been so great for our company! He has helped so much and I can't thank him enough!","Arcsite is such a great program for designing yards for our landscaping company. It allows us to quote on the spot and close more deals. I have to mention [sensitive content hidden] in this review because he has been so amazing to work with and has taken the time to get us up and running and he is so patient and very knowledgable! If I could give him 10 stars; I would! [sensitive content hidden] , thank you so much for all your help and you are the BEST!",Really I can't think of anything! With [sensitive content hidden] help I was able to get Arcsite up and running very smoothly.,,,because arcsite is so much easier to use,"",DynaSCAPE
08/17/2025,Capterra,text,ArcSite,Butch B,Sales Consultant,"Building materials, 51-200 employees",Less than 6 months,4.0,4.0,3.0,4.0,3.0,7 out of 10,Floor plan layout,,Home layout is easy to draw and add windows and doors. Easy to change and relocate items within the floor plan.,Hard to size and rotate doors to create the hinging swing. Outswing to in swing. Some of the windows seem to disappear within the wall sections. Very hard to see.,,,,"",""
06/28/2025,Capterra,text,ArcSite,Fernando N,California Certified Asbestos Consultant,"Construction, 2-10 employees",Less than 6 months,5.0,5.0,5.0,5.0,5.0,10 out of 10,100% Recommend ArcSite!!!,"ArcSite has increase my clients satisfaction due my report floor plans having a professional layout and a quicker product delivery! Also during the trial, the ArcSite walked me through and answered all my questions promptly. 
I have introduced all my colleagues and our Business owners in my industry to 
ArcSite.","Very user friendly, Great build in features, however the Top Tear feature for me is the scanning feature!",I been using ArcSite software for over 3 weeks now and to be completely honest there are truly no cons.,,Scanning feature really makes my business life easier,,FloorPlan,""
01/23/2025,Capterra,text,ArcSite,Nicole A,Landscape Designer,"Design, 1 employee",Less than 2 years,5.0,5.0,5.0,5.0,5.0,7 out of 10,Early adopter,I was an early adopter and went through many phases of ArcSite but I still really like it and contribute to use because CAD is too expensive.,I like that I can go and use my iPad wherever I am to design.,They keep changing their interface. You can’t change your email address associated with the account once signed up.,,Cost is within my budget because Cad is all online now and costly.,,CAD Pro,""
01/16/2025,Capterra,text,ArcSite,Joshua W,Design specialist,"Construction, 51-200 employees",Less than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,Design specialist review,It’s made my job very easy and again makes me look super professional for customer,This is my first time using this type of software. I’m a design specialist and my job entails me drawing full footprint for homes and concrete in order to bid jobs and the software has made it very simple and easy to complete my job while looking very professional for customers.,"My only con would be that there is a lot to learn and know, but that’s gonna be the same with any type of software.",,,,"",""
01/16/2025,Capterra,text,ArcSite,Peter C,Estimator,"Construction, 11-50 employees",Less than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,Very happy with the ArcSite program,"I have used many other drafting programs in the past including AutoCad and I find ArcSite to be very easy to use to create quick, professional drawings.","I really like the intuitive way this program draws and adds features, very easy to drop in items and integrate into the drawings. Exporting to PDF is easy as it should be.","Price for all the features is a bit much for personal use, but for a business it's definitely worth it.",,,,"",""
01/14/2025,Capterra,text,ArcSite,Aaron M,Manager,"Construction, 51-200 employees",Less than 2 years,5.0,5.0,5.0,4.0,5.0,8 out of 10,Always improving,It’s been great and love that the program keeps getting better,How easy it is to navigate and use it for what we need done,There is no way to do retail sales through the app.,,,ArcSite was a much better product than fence cloud,"",CFS System
01/14/2025,Capterra,text,ArcSite,Thad L,Sales Manager,"Construction, 51-200 employees",Less than 12 months,5.0,5.0,5.0,5.0,5.0,10 out of 10,Great CAD and design tool for presentation and implementation!,I am overall very pleased with ArcSite and couldn’t imagine my job without it.  It provides a very professional look for estimates and is very accurate for design and implementation.,Doesn’t take long to learn the basic features and with a little effort and the help options it is fairly easy to use the more advanced features as well.,Until you learn where you need to start drawing your design when you enter in certain size changes it can auto modify connecting sections.,,,,"",""
01/14/2025,Capterra,text,ArcSite,Tanner M,Sales Manager,"Construction, 51-200 employees",Less than 12 months,5.0,5.0,5.0,5.0,5.0,10 out of 10,Amazing CAD software ,"Extremely Satisfied, and easy to use.Arc Site makes it possible to walk the customer through the whole process of the sale","Easy to use, multiple options to show home owners","Honestly nothing, it is a great software",,,,"",""
01/14/2025,Capterra,text,ArcSite,Gavin G,CFI,"Construction, 51-200 employees",Less than 2 years,5.0,5.0,4.0,4.0,5.0,9 out of 10,Up-and-coming,"After playing with it long enough and getting used to all the options and tools, not bad",The ability to edit or add elevation numbers,Different kind of utilities add-ons that we can add to the drawing that would be around homes and or commercial buildings like pool pump,,,companywide transition with Groundwork’s,"",Slack
01/13/2025,Capterra,text,ArcSite,Dyllan a,Carpenter,"Construction, 1 employee",Less than 6 months,5.0,5.0,5.0,5.0,5.0,3 out of 10,Highly recommend ,Only had the chance to use it for floor plans so overall a Good app for drawing floor plans,Very user friendly. Accurate and easy to use for first time users,Nothing I can think of I not used for floor plans and had no issues,,,,"",""
01/13/2025,Capterra,text,ArcSite,Codi M,Certified field inspector,"Construction, 51-200 employees",Less than 12 months,5.0,3.0,5.0,4.0,5.0,10 out of 10,Archsite is the best,Good. The use is almost unlimited if you know all of the functionality,It’s precision and abilities for in home discussions.,We need more video tutorials specifically for the use in Foundation repair services.,,,"Company made it mandatory. 
I really liked how simple it was","",Floor Plan Creator
01/13/2025,Capterra,text,ArcSite,GREG T,Project manager,"Construction, 2-10 employees",More than 2 years,5.0,5.0,4.0,4.0,4.0,9 out of 10,Project Manager ,Easy to use and pretty reliable. Would like to have customers sign through email easier!,Easy to use and very few technical issues!,"Some technical issues with self made objects,  but overall good experience. Doest work offline sometimes.",,,,"",""
01/13/2025,Capterra,text,ArcSite,Anthony S,CFI,"Construction, 1001-5000 employees",Less than 12 months,5.0,5.0,5.0,5.0,5.0,10 out of 10,CFI experience ,Great results presenting inspection results to clients,Ease of use and details allow for great educational material for clients,Time it takes to complete but with repetition it gets faster,,,,"",""
01/13/2025,Capterra,text,ArcSite,Paul H,General Manager,"Construction, 51-200 employees",More than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,General Manager of Little Rock,"I have been using ArcSite for over 5 years now and have grown to appreciate all that the program has to offer. A small learning curve, as with any product, but once you use it enough, it becomes second nature and makes you look very good to the homeowner.",Ease of use and the support ArcSite provides once you run into any issues. They are extremely supportive and willing to accommodate your specific needs.,"Requires connectivity to the internet to produce the proposal, but there is no way around that issue. Just some places tend to be harder to connect and upload than it should be.",,,Cost and lack of support. CAD was great to use but they wanted way too much money for their support.,"",AutoCAD
01/13/2025,Capterra,text,ArcSite,Bob S,Business owner,"Construction, 2-10 employees",Less than 2 years,5.0,5.0,5.0,4.0,5.0,3 out of 10,Sparkys best mate,"Extremely good, very easy to do a quick line diagram and send to customer with pictures","Very easy to learn , great tools for creating jobs","Needs more basic graphics for basic line diagrams for electrical trade, has great electronics but not electrical",,,,"",""
01/12/2025,Capterra,text,ArcSite,Lee B,Owner,"Construction, 2-10 employees",More than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,Easy to use,I use ArcSite all of the time to draw plans for building decks to additions and it’s really easy to use,I love the ease of drawing plans for jobs,It would be nice if there were more details that were included,,,,"",""
01/12/2025,Capterra,text,ArcSite,Barry C,Glaizer,"Glass ceramics and concrete, 11-50 employees",Less than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,Highly recommend great product. ,Great experience with ArcSite. I have never had any issues,"Easy to use, perfect for what i need it for.",I have no complaints. it has been great for what I use it for.,,,,"",""
01/12/2025,Capterra,text,ArcSite,Bruce C,Field Inspector,"Construction, 1001-5000 employees",Less than 2 years,4.0,4.0,3.0,4.0,5.0,8 out of 10,ArcSite Utilization ,Very good.  I pick up something new weekly.,Quick to learn.  Love the duplicate project and layers.,"Calibration tool should only recalibrate the current project.  
Would like more tutorials on controlling the size of fonts and fillable spaces.",,,Company provides the software.  Switch was made for uniformity.,"",SmartDraw
01/11/2025,Capterra,text,ArcSite,David Y,Owner,"Construction, 11-50 employees",More than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,Review of ArcSite,Fantastic to use the product.  Customer service is responsive and knowledgeable.,Super easy to use.  We can do anything with it.  Easily customized but not complicated to do so.  Support team is really the best.,Can't really think of anything we don't like.,,,,"",""
01/10/2025,Capterra,text,ArcSite,Kris B,Certified Field Inspector,"Construction, 5001-10000 employees",Less than 12 months,4.0,4.0,4.0,5.0,5.0,8 out of 10,Overall a good product for those not versed in CAD.,I have been very pleased with the performance of ArcSite and look forward to getting even more proficient with it as time allows.,"It is mostly intuitive.  Coming from a non-CAD background, I was able to pick up ArcSite fairly quickly and even though I’m still learning, I am finding the learning curve to be very short and still be able to produce a quality product.","There are a few features, like importing a design from a colleague or from another source that is less simple and some designing features are a little tougher to negotiate.",,,,"",""
01/10/2025,Capterra,text,ArcSite,Derek D,Owner,"Construction, 2-10 employees",More than 2 years,5.0,5.0,5.0,5.0,5.0,10 out of 10,Love ArcSite - demo video ,Overall experience had been great. I use it for almost ever project I work on. I also have a demonstration video of ArcSite on my YouTube channel Dullen Woodworking,Everything about the app makes sense. At first it can be a little confusing but if you start playing around it’s super easy to get the hang of.,Once in awhile there’s some weird things like sometimes locking 2 walls together in a corner they won’t flawlessly bond even tho they’re the same thickness and on the same layer.,,,,"",""
